Ticker,Date,Time,Close,Volume,OI
BHEL_I,20250101,09:15:17,231.0,0,86034375
BHEL_I,20250101,09:15:17,231.41,0,86034375
BHEL_I,20250101,09:15:17,230.15,0,86034375
BHEL_I,20250101,09:15:17,230.4,78750,86034375
BHEL_I,20250101,09:15:37,230.13,0,86052750
BHEL_I,20250101,09:15:37,230.49,31500,86052750
BHEL_I,20250101,09:15:57,230.14,36750,86052750
BHEL_I,20250101,09:16:18,229.67,0,86052750
BHEL_I,20250101,09:16:18,229.8,55125,86052750
BHEL_I,20250101,09:16:38,230.15,21000,86052750
BHEL_I,20250101,09:16:57,230.09,5250,86052750
BHEL_I,20250101,09:17:17,229.82,21000,86052750
BHEL_I,20250101,09:17:41,230.06,31500,86052750
BHEL_I,20250101,09:18:01,230.5,13125,86052750
BHEL_I,20250101,09:18:12,230.48,23625,86052750
BHEL_I,20250101,09:18:21,230.65,2625,86052750
BHEL_I,20250101,09:18:28,230.41,15750,86052750
BHEL_I,20250101,09:18:40,230.42,7875,86086875
BHEL_I,20250101,09:18:42,230.41,2625,86086875
BHEL_I,20250101,09:18:45,230.61,2625,86086875
BHEL_I,20250101,09:18:51,230.4,2625,86086875
BHEL_I,20250101,09:18:52,230.58,2625,86086875
BHEL_I,20250101,09:19:09,230.16,15750,86086875
BHEL_I,20250101,09:19:27,229.98,13125,86086875
BHEL_I,20250101,09:19:49,230.28,89250,86086875
BHEL_I,20250101,09:20:10,230.53,23625,86086875
BHEL_I,20250101,09:20:12,230.43,2625,86086875
BHEL_I,20250101,09:20:18,230.3,2625,86086875
BHEL_I,20250101,09:20:23,230.32,2625,86086875
BHEL_I,20250101,09:20:30,230.2,2625,86086875
BHEL_I,20250101,09:20:33,230.09,13125,86086875
BHEL_I,20250101,09:20:38,230.0,5250,86086875
BHEL_I,20250101,09:20:39,229.93,2625,86086875
BHEL_I,20250101,09:20:43,230.03,2625,86086875
BHEL_I,20250101,09:20:44,229.93,2625,86086875
BHEL_I,20250101,09:21:01,230.13,2625,86086875
BHEL_I,20250101,09:21:08,230.0,18375,86086875
BHEL_I,20250101,09:21:09,230.0,2625,86086875
BHEL_I,20250101,09:21:36,229.85,10500,86086875
BHEL_I,20250101,09:21:57,229.5,13125,86042250
BHEL_I,20250101,09:22:21,229.76,18375,86042250
BHEL_I,20250101,09:22:45,230.19,78750,86042250
BHEL_I,20250101,09:23:32,230.15,47250,86042250
BHEL_I,20250101,09:23:54,230.16,7875,86042250
BHEL_I,20250101,09:24:39,230.0,26250,86042250
BHEL_I,20250101,09:25:01,229.96,2625,86039625
BHEL_I,20250101,09:25:23,230.17,7875,86039625
BHEL_I,20250101,09:25:47,230.17,5250,86039625
BHEL_I,20250101,09:26:08,230.16,7875,86039625
BHEL_I,20250101,09:26:30,230.12,7875,86039625
BHEL_I,20250101,09:26:52,230.01,2625,86039625
BHEL_I,20250101,09:27:14,230.27,26250,86039625
BHEL_I,20250101,09:27:38,230.33,18375,86055375
