,updated_at,open,high,low,close,basis,stddata,dev,upper,lower,buyconditions,sellconditions,ema,buyconditonTrend,sellconditonTrend,vol_std,volumesma,buy_sell_condition_vol,buy_final,sell_final
0,2025-04-04 07:25:00+05:30,22945.0,22968.3,22944.75,22962.4,,,,,,False,False,22962.4,False,False,,,False,False,False
1,2025-04-04 07:30:00+05:30,22962.55,22973.4,22952.05,22953.2,,6.505382386918038,91.07535341685254,,,False,False,22962.34972677596,False,True,,,False,False,False
2,2025-04-04 07:35:00+05:30,22954.15,22974.05,22951.95,22973.65,,14.460333675264573,202.44467145370402,,,False,False,22962.411476902867,True,False,,,False,False,False
3,2025-04-04 07:40:00+05:30,22973.3,22973.3,22937.2,22938.05,,25.17300141024325,352.4220197434055,,,False,False,22962.278354078262,False,True,,,False,False,False
4,2025-04-04 07:45:00+05:30,22938.15,22955.7,22934.8,22954.3,,11.490485194284519,160.86679271998327,,,False,False,22962.234756514994,False,True,,,False,False,False
5,2025-04-04 07:50:00+05:30,22955.05,22966.75,22942.75,22957.8,,2.4748737341383773,34.64823227793728,,,False,False,22962.210522872836,False,True,,,False,False,False
6,2025-04-04 07:55:00+05:30,22959.25,22959.25,22939.05,22953.2,,3.2526911934472578,45.53767670826161,,,False,False,22962.16128504293,False,True,,,False,False,False
7,2025-04-04 08:00:00+05:30,22952.95,22957.7,22939.7,22942.9,,7.28319984622269,101.96479784711767,,,False,False,22962.0560321192,False,True,,,False,False,False
8,2025-04-04 08:05:00+05:30,22942.8,22950.5,22919.45,22940.7,,1.555634918633801,21.778888860873213,,,False,False,22961.939332490132,False,True,,,False,False,False
9,2025-04-04 08:10:00+05:30,22938.65,22939.6,22913.3,22913.3,,19.37472580451576,271.24616126322064,,,False,False,22961.673543788,False,True,,,False,False,False
10,2025-04-04 08:15:00+05:30,22914.45,22914.45,22875.15,22886.75,,18.773685040507043,262.8315905670986,,,False,False,22961.264125515936,False,True,,,False,False,False
11,2025-04-04 08:20:00+05:30,22886.85,22907.75,22886.85,22898.7,,8.449926035193387,118.29896449270743,,,False,False,22960.922245048638,False,True,,,False,False,False
12,2025-04-04 08:25:00+05:30,22898.35,22911.4,22898.0,22903.35,,3.288046532541745,46.03265145558443,,,False,False,22960.607642616676,False,True,,,False,False,False
13,2025-04-04 08:30:00+05:30,22902.2,22908.5,22895.05,22896.15,22933.889285714286,5.091168824557399,71.27636354380358,23005.165649258088,22862.612922170483,False,False,22960.255415061394,False,True,,,False,False,False
14,2025-04-04 08:35:00+05:30,22895.4,22903.4,22889.8,22902.0,22929.575,4.136574669960353,57.91204537944495,22987.487045379446,22871.662954620555,False,False,22959.937079459964,False,True,28.61460957190211,,False,False,False
15,2025-04-04 08:40:00+05:30,22903.4,22903.4,22881.2,22891.65,22925.178571428572,7.318555185291087,102.45977259407522,23027.63834402265,22822.718798834496,False,False,22959.56392602029,False,True,29.031894201935188,,False,False,False
16,2025-04-04 08:45:00+05:30,22891.55,22899.95,22883.1,22898.15,22919.785714285714,4.5961940777306305,64.34671708822883,22984.132431373942,22855.438997197485,False,False,22959.228330796137,False,True,28.96907135615578,,False,False,False
17,2025-04-04 08:50:00+05:30,22897.85,22906.3,22893.15,22906.3,22917.51785714286,5.762920266684518,80.68088373358326,22998.198740876443,22836.836973409274,False,False,22958.93910494479,False,True,25.64970388764194,,False,False,False
18,2025-04-04 08:55:00+05:30,22906.55,22911.5,22898.65,22910.95,22914.42142857143,3.288046532551786,46.032651455725,22960.454080027153,22868.388777115706,False,False,22958.676869398645,False,True,25.15310120044616,,False,False,False
19,2025-04-04 09:00:00+05:30,22910.65,22916.1,22904.7,22915.5,22911.399999999998,3.217335854433606,45.04270196207048,22956.442701962067,22866.35729803793,False,False,22958.4409302216,False,True,22.950730354596182,,False,False,False
20,2025-04-04 09:05:00+05:30,22916.15,22918.8,22908.8,22911.15,22908.396428571432,3.075914498196238,43.062802974747335,22951.459231546178,22865.333625596686,False,False,22958.182509837876,False,True,19.575738142132785,,False,False,False
21,2025-04-04 09:10:00+05:30,22910.8,22917.35,22896.2,22897.9,22905.182142857142,9.36916485072667,131.16830791017338,23036.350450767317,22774.013834946967,False,False,22957.85309721581,False,True,16.022812606071835,,False,False,False
22,2025-04-04 09:15:00+05:30,22899.65,22906.0,22894.65,22898.15,22902.14285714286,0.17677669528956266,2.4748737340538773,22904.61773087691,22899.667983408806,False,True,22957.52685078294,False,True,12.852424266399076,,False,False,False
23,2025-04-04 09:20:00+05:30,22898.2,22899.0,22886.1,22889.75,22900.460714285717,5.939696961962826,83.15575746747957,22983.616471753197,22817.304956818236,False,False,22957.156485478114,False,True,8.73575711547678,21.755584270275783,False,False,False
24,2025-04-04 09:25:00+05:30,22890.0,22900.05,22887.5,22899.35,22901.360714285714,6.788225099385919,95.03515139140286,22996.395865677117,22806.32556289431,False,False,22956.840603043805,False,True,8.087390243583965,19.702862337443968,False,False,False
25,2025-04-04 09:30:00+05:30,22899.15,22900.95,22883.95,22886.0,22900.45357142857,9.439875528835124,132.15825740369172,23032.61182883226,22768.29531402488,False,False,22956.453495923346,False,True,8.179514189766062,17.617624336227056,False,False,False
26,2025-04-04 09:35:00+05:30,22885.2,22891.95,22880.95,22880.95,22898.85357142857,3.570889244962841,49.99244942947977,22948.84602085805,22848.861121999093,False,False,22956.04090851393,False,True,9.594724492909537,15.680189649902431,False,False,False
27,2025-04-04 09:40:00+05:30,22881.35,22892.45,22876.45,22889.95,22898.410714285714,6.363961030665234,89.09545442931326,22987.506168715026,22809.3152598564,False,False,22955.67975600839,False,True,9.797743909383481,14.094993652076587,False,False,False
28,2025-04-04 09:45:00+05:30,22888.6,22889.65,22882.6,22884.1,22897.132142857143,4.136574669923263,57.91204537892568,22955.04418823607,22839.220097478217,False,False,22955.288609800693,False,True,10.455054598911598,12.62518899192313,False,False,False
29,2025-04-04 09:50:00+05:30,22884.3,22884.95,22875.05,22876.6,22896.057142857142,5.303300858868808,74.24621202416331,22970.303354881304,22821.81093083298,False,False,22954.858617397407,False,True,11.654742545806492,11.495590211044162,True,False,False
30,2025-04-04 09:55:00+05:30,22876.4,22878.55,22868.45,22876.75,22894.528571428575,0.106066015159904,1.4849242122386561,22896.013495640815,22893.043647216335,False,True,22954.43179435152,False,True,12.62494412998305,10.800510809829188,True,False,True
31,2025-04-04 10:00:00+05:30,22876.45,22885.3,22875.4,22883.4,22892.89285714286,4.702260094856548,65.83164132799168,22958.72449847085,22827.06121581487,False,False,22954.043642469816,False,True,12.91399388627254,10.489628937849258,True,False,False
